,title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
1,$,1971,121,NA,6.4,348,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,1,1,0,0,0
2,$1000 a Touchdown,1939,71,NA,6,20,0,14.5,4.5,24.5,14.5,14.5,14.5,4.5,4.5,14.5,,0,0,1,0,0,0,0
3,$21 a Day Once a Month,1941,7,NA,8.2,5,0,0,0,0,0,24.5,0,44.5,24.5,24.5,,0,1,0,0,0,0,1
4,"$40,000 ",1996,70,NA,8.2,6,14.5,0,0,0,0,0,0,0,34.5,45.5,,0,0,1,0,0,0,0
5,"$50,000 Climax Show, The",1975,71,NA,3.4,17,24.5,4.5,0,14.5,14.5,4.5,0,0,0,24.5,,0,0,0,0,0,0,0
6,$pent,2000,91,NA,4.3,45,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,14.5,,0,0,0,1,0,0,0
7,$windle,2002,93,NA,5.3,200,4.5,0,4.5,4.5,24.5,24.5,14.5,4.5,4.5,14.5,R,1,0,0,1,0,0,0
8,'15',2002,25,NA,6.7,24,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,0,1,0,1
9,'38,1987,97,NA,6.6,18,4.5,4.5,4.5,0,0,0,34.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
10,'49-'17,1917,61,NA,6,51,4.5,0,4.5,4.5,4.5,44.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
11,'68,1988,99,NA,5.4,23,4.5,0,4.5,14.5,24.5,4.5,24.5,4.5,14.5,4.5,,0,0,0,1,0,0,0
12,'94 du bi dao zhi qing,1994,96,NA,5.9,53,4.5,0,4.5,4.5,4.5,14.5,24.5,14.5,4.5,24.5,,0,0,0,0,0,0,0
13,"'?' Motorist, The",1906,10,NA,7,44,4.5,0,0,0,4.5,14.5,34.5,14.5,4.5,14.5,,0,0,1,0,0,0,1
14,'A',1965,10,NA,6.7,11,14.5,0,0,0,0,14.5,4.5,4.5,14.5,24.5,,0,0,0,0,0,0,1
15,'A' gai waak,1983,106,NA,7.1,1259,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,PG-13,1,0,1,0,0,0,0
16,'A' gai waak juk jaap,1987,101,NA,7.2,614,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG-13,1,0,1,0,0,0,0
17,'Breaker' Morant,1980,107,NA,7.9,2718,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
18,'Bullitt': Steve McQueen's Commitment to Reality,1968,10,NA,6.6,37,0,0,4.5,4.5,4.5,14.5,44.5,14.5,4.5,4.5,,0,0,0,0,1,0,1
32690,Matinee Mouse,1966,6,NA,4.5,21,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,0,0,,0,1,1,0,0,0,1
32691,"Mating Call, The",1928,72,NA,6.9,37,0,4.5,0,4.5,4.5,24.5,14.5,24.5,14.5,4.5,,0,0,0,1,0,0,0
32692,"Mating Game, The",1959,96,NA,6.8,170,4.5,0,0,4.5,4.5,14.5,24.5,24.5,4.5,14.5,,0,0,1,0,0,1,0
32693,"Mating Habits of the Earthbound Human, The",1999,90,NA,6.4,1266,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,1,0,0,0,0
32694,"Mating Season, The",1951,101,NA,7.2,81,0,0,0,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,1,0,0,0,0
32695,"Mating of Millie, The",1948,87,NA,6.4,12,0,0,0,0,4.5,24.5,24.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
32696,Matir moina,2002,94,NA,7.4,64,0,0,0,4.5,4.5,14.5,14.5,14.5,14.5,34.5,,0,0,0,1,0,0,0
32697,Matokuningas,1993,45,NA,6.6,7,14.5,0,0,0,14.5,24.5,24.5,14.5,0,0,,0,0,0,0,0,0,0
32698,"Matou, Le",1985,141,NA,5.7,38,4.5,0,0,4.5,4.5,14.5,24.5,24.5,4.5,14.5,,0,0,0,0,0,0,0
32699,Matri-Phony,1942,17,NA,7.5,46,0,4.5,0,0,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,0,0,0,1
32700,"Matriarca, La",1969,90,NA,6,39,4.5,4.5,0,14.5,14.5,14.5,14.5,14.5,14.5,4.5,,0,0,1,1,0,0,0
32701,Matriarhat,1977,103,NA,9.1,7,0,0,0,0,0,0,14.5,14.5,14.5,45.5,,0,0,0,1,0,0,0
32702,Matriculated,2003,16,NA,6.2,408,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,,0,1,0,0,0,0,1
32703,"Matrimaniac, The",1916,46,NA,6.6,10,0,0,0,0,24.5,34.5,14.5,24.5,14.5,14.5,,0,0,1,0,0,1,0
32704,Matrimoni,1998,94,NA,6.5,31,0,0,0,4.5,4.5,24.5,34.5,14.5,4.5,0,,0,0,1,0,0,0,0
32705,"Matrimonial Bed, The",1930,69,NA,5,21,0,4.5,4.5,14.5,24.5,4.5,34.5,14.5,0,0,,0,0,1,0,0,0,0
32706,Matrimonio all'italiana,1964,102,NA,7,317,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,,0,0,1,1,0,1,0
