name,year,length,budget,aggregateRating,totalReviews,mpaa,genre_id
$,1971,121,,6.4,348,,12
$1000 a Touchdown,1939,71,,6,20,,4
$21 a Day Once a Month,1941,7,,8.2,5,,66
40000,1996,70,,8.2,6,,4
$50000 Climax Show The,1975,71,,3.4,17,,0
$pent,2000,91,,4.3,45,,8
$windle,2002,93,,5.3,200,R,9
15,2002,25,,6.7,24,,80
38,1987,97,,6.6,18,,8
49-17,1917,61,,6,51,,0
68,1988,99,,5.4,23,,8
94 du bi dao zhi qing,1994,96,,5.9,53,,0
? Motorist The,1906,10,,7,44,,68
A,1965,10,,6.7,11,,64
A gai waak,1983,106,,7.1,1259,PG-13,5
A gai waak juk jaap,1987,101,,7.2,614,PG-13,5
Breaker Morant,1980,107,,7.9,2718,,8
Bullitt: Steve McQueens Commitment to Reality,1968,10,,6.6,37,,80
Crocodile Dundee II,1988,110,,5,7252,,5
E,1981,7,,8.6,15,,70
El Chicko - der Verdacht,1995,90,,3.9,10,,4
G Men,1935,85,450000,7.2,281,,8
Gator Bait,1974,88,,3.5,100,,9
Gator Bait II: Cajun Justice,1988,95,,3.1,54,,0
High Sign The,1921,18,,7.8,145,,68
Hukkunud Alpinisti hotell,1979,80,,7.7,45,,0
Hyp-Nut-Tist The,1935,6,,6.2,18,,70
I Do...,1989,86,,6.2,10,,0
I Know Where Im Going!,1945,92,,7.7,825,,40
Java Madness formerly titled Coffee Madness,1995,7,,6.8,10,,68
Je vous salue Marie,1985,105,,6.4,322,,8
Kaash,1987,140,,5.9,13,,8
M Word,1996,99,,4.6,6,,36
Mad Boy Ill Blow Your Blues Away. Be Mine,1997,19,,7.3,21,,64
Manos the Hands of Fate,1966,74,19000,1.6,7996,,0
Merci la vie,1991,117,,7.2,251,,8
Neath Brooklyn Bridge,1942,61,,6.1,114,,12
Neath Canadian Skies,1946,41,,5.4,7,,64
Neath the Arizona Skies,1934,52,,4.6,105,,0
Night Mother,1986,96,,6.8,364,,8
O re,1989,90,,3.9,8,,4
Pimpernel Smith,1941,120,,7.2,139,,8
R Xmas,2001,83,,4.9,288,R,8
Round Midnight,1986,133,,7.3,902,,8
Sheba Baby,1975,90,,5.5,91,,9
Sugar Chile Robinson Billie Holiday Count Basie and His Sextet,1951,15,,5.3,5,,64
Teddy Bears The,1907,15,,5.8,23,,66
Til There Was You,1997,113,23000000,4.8,799,PG-13,36
Til We Meet Again,1940,99,,6.3,83,,40
Whats Your I.Q.? Number Two,1940,9,,5.9,9,,80
burbs The,1989,101,,6,7641,,4
(A)Torzija,2002,13,,7.2,71,,72
(Entre nous),2002,82,,4.8,22,,8
(Haru),1996,118,,6.6,19,,40
(Paris: XY),2001,80,,1.4,6,,8
